"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CCL2",5.25193804350713,-2.52783342743589,0.997285134618906,-2.5347148369978,0.0112538896041551,NA
"GNAL",5.53270230398792,-2.52313669279733,1.18481342228774,-2.12956457559827,0.0332075782710712,NA
"DGCR6",7.8938364104216,-2.52167971706531,0.835624371941488,-3.01771920702414,0.00254684769339387,0.0460443254042524
"RINL",4.85375535253261,-2.40913712937173,1.19138021077707,-2.02213962224569,0.0431619296988347,NA
"CDCA7",9.39423438067642,-2.4013516267558,0.522859860487977,-4.59272514152196,4.37495114253215e-06,0.000255780300277681
"MYRF",12.3767814333606,-2.36426450428699,0.942159423917883,-2.50941023808414,0.0120932946623134,0.13795727102783
"VASH1-AS1",6.91398508153384,-2.36324714501683,0.959234211426498,-2.46368104563576,0.013751842485175,0.150624698114857
"AC111170.3",2.52763241096501,-2.31992077354058,1.11939854607045,-2.07247077610066,0.0382215588739786,NA
"U2AF1",56.030812658845,-2.21750424192325,0.680759288536709,-3.25739843622225,0.00112438486982377,0.0240973020801399
"AC109460.3",4.24670668264527,-2.20985911646245,0.970066219249564,-2.27804975847111,0.0227236131509503,NA
"ITPRIPL1",4.67859328695815,-2.1526434789188,0.866976746374738,-2.48293104505983,0.0130306308905309,NA
"QPRT",7.13659515490789,-2.14355463885422,0.903225380769465,-2.37322232578109,0.0176336462038631,0.17542853496136
"NR4A3",18.1535592051138,-2.13979266502082,0.925864627487323,-2.31112908031485,0.0208257261590068,0.194509765621056
"LINC01119",5.27965597668965,-2.07254352573418,0.663669486344741,-3.12285492760715,0.00179106006761395,NA
"ZNF608",3.67310970254827,-2.06306294884547,1.04081421313189,-1.98216254430035,0.0474610513004829,NA
"CEND1",54.7251947428045,-2.04639993300167,0.919703253177677,-2.22506545011245,0.0260768447113614,0.225028793929305
"SYTL4",7.14888808288464,-1.99139620594196,0.62343277959338,-3.19424366367262,0.00140197730128446,0.028374552058402
"OLFML1",4.99138062814862,-1.98344588889903,0.897564596524253,-2.20980851582133,0.0271184544666407,NA
